train_data_size,val_data_size,random_seed,representation,train_acc,val_acc,test_acc,num_epochs,batch_size
0.8,0.1,42,timesurface,0.8984090089797974,0.8451776504516602,0.8825757503509521,15,16
0.8,0.1,42,time_window,0.9140564799308777,0.8735294342041016,0.875,13,16
0.8,0.1,93,binary,0.8577726483345032,0.7715231776237488,0.7727272510528564,11,16
0.8,0.1,93,n_bins,0.917826771736145,0.7991573214530945,0.8030303120613098,13,16
0.8,0.1,93,spike_count,0.8459010124206543,0.8455055952072144,0.8674242496490479,7,16
0.8,0.1,93,timesurface,0.9081040620803833,0.8946700692176819,0.8295454382896423,15,16
0.8,0.1,93,time_window,0.9027455449104309,0.8941176533699036,0.8863636255264282,13,16
0.9,0.1,13,binary,0.8854638934135437,0.7479131817817688,0.8409090638160706,11,16
0.9,0.1,13,n_bins,0.8854811191558838,0.7691218256950378,0.814393937587738,13,16
0.9,0.1,13,spike_count,0.8844072222709656,0.8500000238418579,0.8787878751754761,9,16
0.9,0.1,13,timesurface,0.9175257682800293,0.8591549396514893,0.9053030014038086,15,16
0.9,0.1,13,time_window,0.8581185340881348,0.8282608985900879,0.9015151262283325,9,16
0.9,0.1,42,binary,0.8360824584960938,0.7601625919342041,0.8484848737716675,9,16
0.9,0.1,42,n_bins,0.8821649551391602,0.7712854743003845,0.8295454382896423,11,16
0.9,0.1,42,spike_count,0.8765463829040527,0.8478260636329651,0.8560606241226196,9,16
0.9,0.1,42,timesurface,0.8899999856948853,0.8624338507652283,0.875,11,16
0.9,0.1,42,time_window,0.9326951503753662,0.8962867856025696,0.8977272510528564,15,16
0.9,0.1,93,binary,0.9178939461708069,0.768757700920105,0.7916666865348816,15,16
0.9,0.1,93,n_bins,0.8827319741249084,0.7215447425842285,0.75,9,16
0.9,0.1,93,spike_count,0.8679123520851135,0.8065217137336731,0.8409090638160706,9,16
0.9,0.1,93,timesurface,0.8512886762619019,0.7956521511077881,0.8522727489471436,9,16
0.9,0.1,93,time_window,0.8626288771629333,0.841304361820221,0.9053030014038086,9,16
