train_data_size,val_data_size,random_seed,representation,val_rate_acc,val_temp_acc,test_rate_acc,test_temp_acc,num_epochs,batch_size
0.6,0.1,45,spike_count,0.0,0.0,tensor(0.5038),tensor(0.4811),19,8
0.6,0.1,45,time_window,0.0,0.0,tensor(0.4167),tensor(0.3788),19,8
0.6,0.1,59,binary,0.0,0.0,tensor(0.4924),tensor(0.4545),25,8
0.6,0.1,59,n_bins,0.0,0.0,tensor(0.7576),tensor(0.6742),25,8
0.6,0.1,59,spike_count,0.0,0.0,tensor(0.5265),tensor(0.5265),25,8
0.6,0.1,59,time_window,0.0,0.0,tensor(0.4394),tensor(0.4583),25,8
0.6,0.1,6,binary,0.0,0.0,tensor(0.4773),tensor(0.4432),21,8
0.6,0.1,6,n_bins,0.0,0.0,tensor(0.6932),tensor(0.6288),21,8
0.6,0.1,6,spike_count,0.0,0.0,tensor(0.5720),tensor(0.4583),21,8
0.6,0.1,6,time_window,0.0,0.0,tensor(0.4508),tensor(0.4053),21,8
0.6,0.1,93,binary,0.0,0.0,tensor(0.4205),tensor(0.3371),29,8
0.6,0.1,93,n_bins,0.0,0.0,tensor(0.7348),tensor(0.6591),29,8
0.6,0.1,93,spike_count,0.0,0.0,tensor(0.5341),tensor(0.5000),29,8
0.6,0.1,93,time_window,0.0,0.0,tensor(0.4394),tensor(0.4318),29,8
0.6,0.1,96,binary,0.0,0.0,tensor(0.4432),tensor(0.3939),17,8
0.6,0.1,96,n_bins,0.0,0.0,tensor(0.7273),tensor(0.6667),17,8
0.6,0.1,96,time_window,0.0,0.0,tensor(0.4470),tensor(0.4356),17,8
0.6,0.1,98,binary,0.0,0.0,tensor(0.1629),tensor(0.1667),17,8
0.6,0.1,98,n_bins,0.0,0.0,tensor(0.7197),tensor(0.6591),17,8
0.6,0.1,98,spike_count,0.0,0.0,tensor(0.5492),tensor(0.5152),17,8
0.6,0.1,98,time_window,0.0,0.0,tensor(0.4280),tensor(0.3902),17,8
0.7,0.1,13,binary,0.0,0.0,tensor(0.3674),tensor(0.3409),21,8
0.7,0.1,13,n_bins,0.0,0.0,tensor(0.7311),tensor(0.6591),21,8
0.7,0.1,13,spike_count,0.0,0.0,tensor(0.5720),tensor(0.5038),21,8
0.7,0.1,13,time_window,0.0,0.0,tensor(0.4091),tensor(0.4470),21,8
0.7,0.1,42,binary,0.0,0.0,tensor(0.4621),tensor(0.4773),23,8
0.7,0.1,42,n_bins,0.0,0.0,tensor(0.7121),tensor(0.6629),23,8
0.7,0.1,44,binary,0.0,0.0,tensor(0.5076),tensor(0.4886),21,8
0.7,0.1,44,n_bins,0.0,0.0,tensor(0.7008),tensor(0.6439),21,8
0.7,0.1,44,spike_count,0.0,0.0,tensor(0.4924),tensor(0.4583),21,8
0.7,0.1,45,binary,0.0,0.0,tensor(0.3068),tensor(0.2576),23,8
0.7,0.1,45,n_bins,0.0,0.0,tensor(0.7197),tensor(0.6553),23,8
0.7,0.1,59,binary,0.0,0.0,tensor(0.4924),tensor(0.4129),25,8
0.7,0.1,59,n_bins,0.0,0.0,tensor(0.7576),tensor(0.6856),25,8
0.7,0.1,59,spike_count,0.0,0.0,tensor(0.5341),tensor(0.5379),25,8
0.7,0.1,59,time_window,0.0,0.0,tensor(0.4129),tensor(0.4356),25,8
0.7,0.1,6,binary,0.0,0.0,tensor(0.4015),tensor(0.4394),17,8
