name,train_data_size,val_data_size,random_seed,representation,train_acc,val_acc,test_acc,num_epochs,batch_size,target_frames,pooling_mode
time_window_09_59_8_800_avg,0.9,0.1,59,time_window,1.0,0.9532710313796997,0.8901515007019043,16,8,800,avg
time_window_09_59_8_200_linear,0.9,0.1,59,time_window,1.0,0.9439252614974976,0.8598484992980957,12,8,200,linear
time_window_09_59_8_300_linear,0.9,0.1,59,time_window,1.0,0.9345794320106506,0.8901515007019043,8,8,300,linear
time_window_09_59_8_400_linear,0.9,0.1,59,time_window,1.0,0.9158878326416016,0.8712121248245239,10,8,400,linear
time_window_09_59_8_500_linear,0.9,0.1,59,time_window,1.0,0.9439252614974976,0.9204545617103577,14,8,500,linear
time_window_09_59_8_600_linear,0.9,0.1,59,time_window,1.0,0.9439252614974976,0.9128788113594055,10,8,600,linear
time_window_09_59_8_700_linear,0.9,0.1,59,time_window,1.0,0.9439252614974976,0.9166666865348816,12,8,700,linear
time_window_09_59_8_800_linear,0.9,0.1,59,time_window,1.0,0.9158878326416016,0.9053030014038086,12,8,800,linear
time_window_09_44_8_200_max,0.9,0.1,44,time_window,1.0,0.9532710313796997,0.8787878751754761,12,8,200,max
time_window_09_44_8_300_max,0.9,0.1,44,time_window,1.0,0.9439252614974976,0.8825757503509521,16,8,300,max
time_window_09_44_8_400_max,0.9,0.1,44,time_window,1.0,0.9532710313796997,0.9128788113594055,8,8,400,max
time_window_09_44_8_500_max,0.9,0.1,44,time_window,1.0,0.9439252614974976,0.8977272510528564,10,8,500,max
time_window_09_44_8_600_max,0.9,0.1,44,time_window,1.0,0.9345794320106506,0.875,10,8,600,max
time_window_09_44_8_700_max,0.9,0.1,44,time_window,1.0,0.9439252614974976,0.9015151262283325,10,8,700,max
time_window_09_44_8_800_max,0.9,0.1,44,time_window,1.0,0.9532710313796997,0.8674242496490479,10,8,800,max
time_window_09_44_8_200_avg,0.9,0.1,44,time_window,1.0,0.9345794320106506,0.8712121248245239,12,8,200,avg
time_window_09_44_8_300_avg,0.9,0.1,44,time_window,0.9845361113548279,0.84112149477005,0.8522727489471436,6,8,300,avg
time_window_09_44_8_400_avg,0.9,0.1,44,time_window,1.0,0.9532710313796997,0.8560606241226196,12,8,400,avg
time_window_09_44_8_500_avg,0.9,0.1,44,time_window,1.0,0.9532710313796997,0.9015151262283325,10,8,500,avg
time_window_09_44_8_600_avg,0.9,0.1,44,time_window,1.0,0.9345794320106506,0.8977272510528564,8,8,600,avg
time_window_09_44_8_700_avg,0.9,0.1,44,time_window,1.0,0.9439252614974976,0.9090909361839294,12,8,700,avg
time_window_09_44_8_800_avg,0.9,0.1,44,time_window,1.0,0.9158878326416016,0.8787878751754761,10,8,800,avg
time_window_09_44_8_200_linear,0.9,0.1,44,time_window,1.0,0.9345794320106506,0.8787878751754761,10,8,200,linear
time_window_09_44_8_300_linear,0.9,0.1,44,time_window,1.0,0.9532710313796997,0.8977272510528564,12,8,300,linear
time_window_09_44_8_400_linear,0.9,0.1,44,time_window,1.0,0.9345794320106506,0.8712121248245239,10,8,400,linear
time_window_09_44_8_500_linear,0.9,0.1,44,time_window,1.0,0.9439252614974976,0.875,10,8,500,linear
time_window_09_44_8_600_linear,0.9,0.1,44,time_window,1.0,0.9532710313796997,0.8977272510528564,8,8,600,linear
time_window_09_44_8_700_linear,0.9,0.1,44,time_window,1.0,0.9345794320106506,0.9053030014038086,10,8,700,linear
time_window_09_44_8_800_linear,0.9,0.1,44,time_window,1.0,0.9345794320106506,0.8939393758773804,8,8,800,linear
